block_no,range_start,range_end,slug,title,category,priority,status,version,depends_on,optional_depends_on,requires_slugs,optional_requires_slugs,provides,requires_capabilities,optional_requires_capabilities,conflicts,zip_filename,main_doc,zip_pack,notes,spec_md,seed_files,last_updated
19.0,40401,40800,data_lineage_provenance,Data Lineage Provenance,Data & Integration,P0,DONE,0.4.1,security_trust;data_privacy_compliance;observability_reliability,,data_privacy_compliance;observability_reliability;security_trust,,block:data_lineage_provenance;cap:data,cap:compliance;cap:data;cap:observability;cap:reliability;cap:security,,,IFOS_40401_40800_data_lineage_provenance_os_pack.zip,IFOS_data_lineage_provenance_os_40401_40800_v1.md,IFOS_40401_40800_data_lineage_provenance_os_pack.zip,,,,
20.0,40801,41200,experimentation_evaluation,Experimentation Evaluation,Other,P2,DONE,0.8.1,,,,,block:experimentation_evaluation,,,,IFOS_40801_41200_experimentation_evaluation_os_pack.zip,IFOS_experimentation_evaluation_os_40801_41200_v1.md,IFOS_40801_41200_experimentation_evaluation_os_pack.zip,,,,
21.0,41201,41600,data_privacy_compliance,Data Privacy Compliance,Security & Compliance,P0,DONE,0.12.1,enterprise_identity_access;security_trust,data_lineage_provenance,enterprise_identity_access;security_trust,data_lineage_provenance,block:data_privacy_compliance;cap:compliance;cap:data;cap:security,cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:security,cap:data,,IFOS_41201_41600_data_privacy_compliance_os_pack.zip,IFOS_data_privacy_compliance_os_41201_41600_v1.md,IFOS_41201_41600_data_privacy_compliance_os_pack.zip,,,,
22.0,41601,42000,localization_i18n,Localization i18n,Other,P2,DONE,0.16.1,,,,,block:localization_i18n,,,,IFOS_41601_42000_localization_i18n_os_pack.zip,IFOS_localization_i18n_os_41601_42000_v1.md,IFOS_41601_42000_localization_i18n_os_pack.zip,,,,
23.0,42001,42400,payments_settlement,Payments Settlement,Marketplace & Monetization,P1,DONE,0.20.1,enterprise_identity_access;security_trust;data_privacy_compliance,pricing_quotas_resource_economy,data_privacy_compliance;enterprise_identity_access;security_trust,pricing_quotas_resource_economy,block:payments_settlement;cap:marketplace;cap:monetization,cap:compliance;cap:data;cap:enterprise;cap:governance;cap:identity;cap:security,cap:marketplace;cap:monetization,,IFOS_42001_42400_payments_settlement_os_pack.zip,IFOS_payments_settlement_os_42001_42400_v1.md,IFOS_42001_42400_payments_settlement_os_pack.zip,,,,
24.0,42401,42800,customer_support_disputes,Customer Support Disputes,Marketplace & Monetization,P1,DONE,0.24.1,,,,,block:customer_support_disputes,,,,IFOS_42401_42800_customer_support_disputes_os_pack.zip,IFOS_customer_support_disputes_os_42401_42800_v1.md,IFOS_42401_42800_customer_support_disputes_os_pack.zip,,,,
25.0,43201,43600,data_contracts_schema_registry,Data Contracts Schema Registry,Data & Integration,P0,DONE,0.32.1,security_trust;data_privacy_compliance;observability_reliability,,data_privacy_compliance;observability_reliability;security_trust,,block:data_contracts_schema_registry;cap:data,cap:compliance;cap:data;cap:observability;cap:reliability;cap:security,,,IFOS_43201_43600_data_contracts_schema_registry_os_pack.zip,IFOS_data_contracts_schema_registry_os_43201_43600_v1.md,IFOS_43201_43600_data_contracts_schema_registry_os_pack.zip,,,,
26.0,43601,44000,content_import_normalization,Content Import Normalization,Data & Integration,P0,DONE,0.36.1,,,,,block:content_import_normalization;cap:data,,,,IFOS_43601_44000_content_import_normalization_os_pack.zip,IFOS_content_import_normalization_os_43601_44000_v1.md,IFOS_43601_44000_content_import_normalization_os_pack.zip,,,,
27.0,44001,44400,searchable_knowledge_vault,Searchable Knowledge Vault,Security & Compliance,P0,DONE,0.40.1,content_import_normalization;data_quality_dedup;observability_reliability;data_contracts_schema_registry;data_integration_etl_elt;security_trust,search_ranking_vitrines,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;data_quality_dedup;observability_reliability;security_trust,search_ranking_vitrines,block:searchable_knowledge_vault;cap:compliance;cap:knowledge;cap:search;cap:security,cap:compliance;cap:data;cap:observability;cap:reliability;cap:security,cap:search;cap:vitrines,,IFOS_44001_44400_searchable_knowledge_vault_os_pack.zip,IFOS_searchable_knowledge_vault_os_44001_44400_v1.md,IFOS_44001_44400_searchable_knowledge_vault_os_pack.zip,,,,
28.0,44401,44800,knowledge_products_vitrines,Knowledge Products Vitrines,Knowledge & RAG,P1,DONE,0.44.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;data_quality_dedup;observability_reliability;search_ranking_vitrines;searchable_knowledge_vault;security_trust,,block:knowledge_products_vitrines;cap:vitrines,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security;cap:vitrines,,,IFOS_44401_44800_knowledge_products_vitrines_os_pack.zip,IFOS_knowledge_products_vitrines_os_44401_44800_v1.md,IFOS_44401_44800_knowledge_products_vitrines_os_pack.zip,,,,
29.0,44801,45200,workflow_runner_macro_engine,Workflow Runner Macro Engine,Runtime & Automation,P0,DONE,0.48.1,runtime_execution;connectors_factory_sdk;scheduling_orchestration;observability_reliability;enterprise_identity_access,,connectors_factory_sdk;enterprise_identity_access;observability_reliability;runtime_execution;scheduling_orchestration,,block:workflow_runner_macro_engine;cap:automation;cap:runtime;cap:workflow,cap:compliance;cap:connectors;cap:enterprise;cap:governance;cap:identity;cap:observability;cap:orchestration;cap:reliability;cap:runtime;cap:sdk;cap:security,,,IFOS_44801_45200_workflow_runner_macro_engine_os_pack.zip,IFOS_workflow_runner_macro_engine_os_44801_45200_v1.md,IFOS_44801_45200_workflow_runner_macro_engine_os_pack.zip,,,,
30.0,45201,45600,connectors_factory_sdk,Connectors Factory SDK,Dev Platform & Connectors,P1,DONE,0.52.1,,,,,block:connectors_factory_sdk;cap:connectors;cap:sdk,,,,IFOS_45201_45600_connectors_factory_sdk_os_pack.zip,IFOS_connectors_factory_sdk_os_45201_45600_v1.md,IFOS_45201_45600_connectors_factory_sdk_os_pack.zip,,,,
31.0,45601,46000,marketplace_curation_quality,Marketplace Curation Quality,Marketplace & Monetization,P1,DONE,0.56.1,enterprise_identity_access;security_trust;pricing_quotas_resource_economy;payments_settlement;data_privacy_compliance,,data_privacy_compliance;enterprise_identity_access;payments_settlement;pricing_quotas_resource_economy;security_trust,,block:marketplace_curation_quality;cap:marketplace;cap:monetization,cap:compliance;cap:data;cap:enterprise;cap:governance;cap:identity;cap:marketplace;cap:monetization;cap:security,,,IFOS_45601_46000_marketplace_curation_quality_os_pack.zip,IFOS_marketplace_curation_quality_os_45601_46000_v1.md,IFOS_45601_46000_marketplace_curation_quality_os_pack.zip,,,,
32.0,46401,46800,vitrines_conference_mode,Vitrines Conference Mode,Search; Ranking & Vitrines,P1,DONE,0.64.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability,,content_import_normalization;data_quality_dedup;observability_reliability;searchable_knowledge_vault,,block:vitrines_conference_mode;cap:vitrines,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security,,,IFOS_46401_46800_vitrines_conference_mode_os_pack.zip,IFOS_vitrines_conference_mode_os_46401_46800_v1.md,IFOS_46401_46800_vitrines_conference_mode_os_pack.zip,,,,
33.0,46801,47200,news_events_ingestion,News Events Ingestion,Search; Ranking & Vitrines,P1,DONE,0.68.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability,,content_import_normalization;data_quality_dedup;observability_reliability;searchable_knowledge_vault,,block:news_events_ingestion,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security,,,IFOS_46801_47200_news_events_ingestion_os_pack.zip,IFOS_news_events_ingestion_os_46801_47200_v1.md,IFOS_46801_47200_news_events_ingestion_os_pack.zip,,,,
34.0,47201,47600,compare_evaluation_truthful,Compare Evaluation Truthful,Search; Ranking & Vitrines,P1,DONE,0.72.1,,,,,block:compare_evaluation_truthful,,,,IFOS_47201_47600_compare_evaluation_truthful_os_pack.zip,IFOS_compare_evaluation_truthful_os_47201_47600_v1.md,IFOS_47201_47600_compare_evaluation_truthful_os_pack.zip,,,,
35.0,47601,48000,comparison_portal_vitrines,Comparison Portal Vitrines,Search; Ranking & Vitrines,P1,DONE,0.76.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability,,content_import_normalization;data_quality_dedup;observability_reliability;searchable_knowledge_vault,,block:comparison_portal_vitrines;cap:vitrines,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security,,,IFOS_47601_48000_comparison_portal_vitrines_os_pack.zip,IFOS_comparison_portal_vitrines_os_47601_48000_v1.md,IFOS_47601_48000_comparison_portal_vitrines_os_pack.zip,,,,
36.0,48001,48400,reviews_feedback,Reviews Feedback,Search; Ranking & Vitrines,P1,DONE,0.80.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability,,content_import_normalization;data_quality_dedup;observability_reliability;searchable_knowledge_vault,,block:reviews_feedback,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security,,,IFOS_48001_48400_reviews_feedback_os_pack.zip,IFOS_reviews_feedback_os_48001_48400_v1.md,IFOS_48001_48400_reviews_feedback_os_pack.zip,,,,
37.0,48801,49200,one_click_bundles_templates,One Click Bundles Templates,Other,P2,DONE,0.88.1,,,,,block:one_click_bundles_templates,,,,IFOS_48801_49200_one_click_bundles_templates_os_pack.zip,IFOS_one_click_bundles_templates_os_48801_49200_v1.md,IFOS_48801_49200_one_click_bundles_templates_os_pack.zip,,,,
38.0,50801,51200,adoption,Adoption,Adoption & Learning,P2,DONE,0.8.1,,,,,block:adoption;cap:adoption;cap:learning,,,,IFOS_50801_51200_adoption_os_pack.zip,IFOS_adoption_os_50801_51200_v1.md,IFOS_50801_51200_adoption_os_pack.zip,,,,
39.0,51601,52000,data,Data,Other,P2,DONE,0.16.1,,,,,block:data,,,,IFOS_51601_52000_data_os_pack.zip,IFOS_data_os_51601_52000_v1.md,IFOS_51601_52000_data_os_pack.zip,,,,
40.0,52001,52400,process,Process,Process & Ops,P2,DONE,0.20.1,,,,,block:process,,,,IFOS_52001_52400_process_os_pack.zip,IFOS_process_os_52001_52400_v1.md,IFOS_52001_52400_process_os_pack.zip,,,,
41.0,52401,52800,ai_copilot,Ai Copilot,Other,P2,DONE,0.24.1,,,,,block:ai_copilot,,,,IFOS_52401_52800_ai_copilot_os_pack.zip,IFOS_ai_copilot_os_52401_52800_v1.md,IFOS_52401_52800_ai_copilot_os_pack.zip,,,,
42.0,53201,53600,ui_console,UI Console,UI & Office Suite,P1,DONE,0.32.1,enterprise_identity_access;security_trust;workflow_runner_macro_engine;searchable_knowledge_vault,,enterprise_identity_access;searchable_knowledge_vault;security_trust;workflow_runner_macro_engine,,block:ui_console;cap:console;cap:ui,cap:automation;cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:knowledge;cap:runtime;cap:search;cap:security;cap:workflow,,,IFOS_53201_53600_ui_console_os_pack.zip,IFOS_ui_console_os_53201_53600_v1.md,IFOS_53201_53600_ui_console_os_pack.zip,,,,
43.0,53601,54000,knowledge_worker,Knowledge Worker,Knowledge & RAG,P1,DONE,0.36.1,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,block:knowledge_worker,cap:compliance;cap:data;cap:search;cap:security;cap:vitrines,,,IFOS_53601_54000_knowledge_worker_os_pack.zip,IFOS_knowledge_worker_os_53601_54000_v1.md,IFOS_53601_54000_knowledge_worker_os_pack.zip,,,,
44.0,54001,54400,knowledge_graph_ui_navigation,Knowledge Graph UI Navigation,Knowledge & RAG,P1,DONE,0.40.1,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,content_import_normalization;data_contracts_schema_registry;data_integration_etl_elt;search_ranking_vitrines;security_trust,,block:knowledge_graph_ui_navigation;cap:knowledge;cap:ui,cap:compliance;cap:data;cap:search;cap:security;cap:vitrines,,,IFOS_54001_54400_knowledge_graph_ui_navigation_os_pack.zip,IFOS_knowledge_graph_ui_navigation_os_54001_54400_v1.md,IFOS_54001_54400_knowledge_graph_ui_navigation_os_pack.zip,,,,
45.0,55201,55600,compliance_policy_engine,Compliance Policy Engine,Security & Compliance,P0,DONE,0.52.1,enterprise_identity_access;security_trust;data_lineage_provenance,,data_lineage_provenance;enterprise_identity_access;security_trust,,block:compliance_policy_engine;cap:compliance;cap:policy-engine;cap:security,cap:compliance;cap:data;cap:enterprise;cap:governance;cap:identity;cap:security,,,IFOS_55201_55600_compliance_policy_engine_os_pack.zip,IFOS_compliance_policy_engine_os_55201_55600_v1.md,IFOS_55201_55600_compliance_policy_engine_os_pack.zip,,,,
46.0,55601,56000,distribution_sync,Distribution Sync,Other,P2,DONE,0.56.1,enterprise_identity_access;security_trust;observability_reliability,,enterprise_identity_access;observability_reliability;security_trust,,block:distribution_sync,cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:observability;cap:reliability;cap:security,,,IFOS_55601_56000_distribution_sync_os_pack.zip,IFOS_distribution_sync_os_55601_56000_v1.md,IFOS_55601_56000_distribution_sync_os_pack.zip,,,,
47.0,56001,56400,analytics_insights,Analytics Insights,Other,P2,DONE,0.60.1,,,,,block:analytics_insights,,,,IFOS_56001_56400_analytics_insights_os_pack.zip,IFOS_analytics_insights_os_56001_56400_v1.md,IFOS_56001_56400_analytics_insights_os_pack.zip,,,,
48.0,56401,56800,ai_refactoring,Ai Refactoring,Other,P2,DONE,0.64.1,,,,,block:ai_refactoring,,,,IFOS_56401_56800_ai_refactoring_os_pack.zip,IFOS_ai_refactoring_os_56401_56800_v1.md,IFOS_56401_56800_ai_refactoring_os_pack.zip,,,,
49.0,56801,57200,learning_certification,Learning Certification,Adoption & Learning,P2,DONE,0.68.1,,,,,block:learning_certification;cap:adoption;cap:learning,,,,IFOS_56801_57200_learning_certification_os_pack.zip,IFOS_learning_certification_os_56801_57200_v1.md,IFOS_56801_57200_learning_certification_os_pack.zip,,,,
50.0,57201,57600,community_contribution,Community Contribution,Community & Standards,P2,DONE,0.72.1,,,,,block:community_contribution;cap:community;cap:standards,,,,IFOS_57201_57600_community_contribution_os_pack.zip,IFOS_community_contribution_os_57201_57600_v1.md,IFOS_57201_57600_community_contribution_os_pack.zip,,,,
51.0,57601,58000,standards_interop,Standards Interop,Community & Standards,P2,DONE,0.76.1,,,,,block:standards_interop;cap:community;cap:standards,,,,IFOS_57601_58000_standards_interop_os_pack.zip,IFOS_standards_interop_os_57601_58000_v1.md,IFOS_57601_58000_standards_interop_os_pack.zip,,,,
52.0,58001,58400,data_governance_master_data,Data Governance Master Data,Data & Integration,P0,DONE,0.80.1,security_trust;data_privacy_compliance;observability_reliability,,data_privacy_compliance;observability_reliability;security_trust,,block:data_governance_master_data;cap:data,cap:compliance;cap:data;cap:observability;cap:reliability;cap:security,,,IFOS_58001_58400_data_governance_master_data_os_pack.zip,IFOS_data_governance_master_data_os_58001_58400_v1.md,IFOS_58001_58400_data_governance_master_data_os_pack.zip,,,,
53.0,58401,58800,knowledge_packaging_documentation,Knowledge Packaging Documentation,Knowledge & RAG,P1,DONE,0.84.1,,,,,block:knowledge_packaging_documentation,,,,IFOS_58401_58800_knowledge_packaging_documentation_os_pack.zip,IFOS_knowledge_packaging_documentation_os_58401_58800_v1.md,IFOS_58401_58800_knowledge_packaging_documentation_os_pack.zip,,,,
54.0,58801,59200,demo_sandbox_one_click_trials,Demo Sandbox One Click Trials,Adoption & Learning,P2,DONE,0.88.1,,,,,block:demo_sandbox_one_click_trials,,,,IFOS_58801_59200_demo_sandbox_one_click_trials_os_pack.zip,IFOS_demo_sandbox_one_click_trials_os_58801_59200_v1.md,IFOS_58801_59200_demo_sandbox_one_click_trials_os_pack.zip,,,,
55.0,59201,59600,interop_benchmarks_rankings,Interop Benchmarks Rankings,Search; Ranking & Vitrines,P1,DONE,0.92.1,content_import_normalization;data_quality_dedup;searchable_knowledge_vault;observability_reliability,,content_import_normalization;data_quality_dedup;observability_reliability;searchable_knowledge_vault,,block:interop_benchmarks_rankings;cap:community;cap:search;cap:standards,cap:compliance;cap:data;cap:knowledge;cap:observability;cap:reliability;cap:search;cap:security,,,IFOS_59201_59600_interop_benchmarks_rankings_os_pack.zip,IFOS_interop_benchmarks_rankings_os_59201_59600_v1.md,IFOS_59201_59600_interop_benchmarks_rankings_os_pack.zip,,,,
56.0,59601,60000,enterprise_rollouts_change_control,Enterprise Rollouts Change Control,Enterprise & Governance,P0,DONE,0.96.1,,,,,block:enterprise_rollouts_change_control;cap:enterprise;cap:governance;cap:identity,,,,IFOS_59601_60000_enterprise_rollouts_change_control_os_pack.zip,IFOS_enterprise_rollouts_change_control_os_59601_60000_v1.md,IFOS_59601_60000_enterprise_rollouts_change_control_os_pack.zip,,,,
57.0,60001,60400,economics_incentives,Economics Incentives,Marketplace & Monetization,P1,DONE,0.0.1,,,,,block:economics_incentives,,,,IFOS_60001_60400_economics_incentives_os_pack.zip,IFOS_economics_incentives_os_60001_60400_v1.md,IFOS_60001_60400_economics_incentives_os_pack.zip,,,,
58.0,60401,60800,education_adoption,Education Adoption,Adoption & Learning,P2,DONE,0.4.1,,,,,block:education_adoption;cap:adoption;cap:learning,,,,IFOS_60401_60800_education_adoption_os_pack.zip,IFOS_education_adoption_os_60401_60800_v1.md,IFOS_60401_60800_education_adoption_os_pack.zip,,,,
59.0,60801,61200,office_suite_ui,Office Suite UI,UI & Office Suite,P1,DONE,0.8.1,enterprise_identity_access;security_trust;workflow_runner_macro_engine;searchable_knowledge_vault,,enterprise_identity_access;searchable_knowledge_vault;security_trust;workflow_runner_macro_engine,,block:office_suite_ui;cap:office-suite;cap:ui,cap:automation;cap:compliance;cap:enterprise;cap:governance;cap:identity;cap:knowledge;cap:runtime;cap:search;cap:security;cap:workflow,,,IFOS_60801_61200_office_suite_ui_os_pack.zip,IFOS_office_suite_ui_os_60801_61200_v1.md,IFOS_60801_61200_office_suite_ui_os_pack.zip,,,,
60.0,61201,61600,integration_ecosystems,Integration Ecosystems,Data & Integration,P0,DONE,0.12.1,,,,,block:integration_ecosystems;cap:data,,,,IFOS_61201_61600_integration_ecosystems_os_pack.zip,IFOS_integration_ecosystems_os_61201_61600_v1.md,IFOS_61201_61600_integration_ecosystems_os_pack.zip,,,,
61.0,61601,62000,enterprise_connectors_credential_vault,Enterprise Connectors Credential Vault,Security & Compliance,P0,DONE,0.16.1,,,,,block:enterprise_connectors_credential_vault;cap:compliance;cap:connectors;cap:knowledge;cap:sdk;cap:secrets;cap:security,,,,IFOS_61601_62000_enterprise_connectors_credential_vault_os_pack.zip,IFOS_enterprise_connectors_credential_vault_os_61601_62000_v1.md,IFOS_61601_62000_enterprise_connectors_credential_vault_os_pack.zip,,,,
